Nom_Barri,res_viajes,res_distancia,res_pagerank,tur_viajes,tur_distancia,cluster_kmeans,num_paradas_tmb,in_total_viajes,presion_tmb
el Poblenou,14498658,3.1809893472649784,0.01660471780135897,5850687.0,2.6737136530144014,0.0,68.0,20349345.0,299255.07352941175
l'Antiga Esquerra de l'Eixample,29731894,2.6338033403631465,0.03104659617696516,13219786.0,2.0582534125575958,4.0,95.0,42951680.0,452122.94736842107
les Tres Torres,12917559,2.714278214798492,0.014501227127579116,1976981.0,2.595968176420337,0.0,38.0,14894540.0,391961.5789473684
Sant Martí de Provençals,5687439,3.366709745134831,0.007748534292956447,270120.0,3.1076200192894583,0.0,29.0,5957559.0,205433.06896551725
la Clota,1155634,3.0571818898681844,0.0032615590232019298,65959.0,3.730146201396871,0.0,2.0,1221593.0,610796.5
Hostafrancs,6288074,2.8905717455047686,0.008035293433473218,3333379.0,2.5016186189321736,0.0,33.0,9621453.0,291559.1818181818
Provençals del Poblenou,9134111,3.3218939120774733,0.011311655699529617,2243414.0,3.0526269972425597,0.0,48.0,11377525.0,237031.77083333334
la Maternitat i Sant Ramon,15642143,3.6720607258859075,0.01704189081362989,5866847.0,3.7615558766715713,0.0,80.0,21508990.0,268862.375
el Coll,2064219,2.848500053676725,0.004075865625067884,86295.0,1.6660597542263178,3.0,25.0,2150514.0,86020.56
Sant Genís dels Agudells,2862833,3.9183592301438517,0.005103307014250935,60517.0,3.6013546845386735,3.0,40.0,2923350.0,73083.75
Torre Baró,1027228,3.4134921904353988,0.003315080262457685,50645.0,5.120243706818817,3.0,59.0,1077873.0,18269.033898305086
Sant Gervasi - la Bonanova,17791522,3.01494890793208,0.019451893974969367,4113171.0,3.0336822060566098,0.0,83.0,21904693.0,263911.9638554217
el Putxet i el Farró,15155236,2.6270577411013414,0.01685013578388786,3665624.0,2.5472099399610677,0.0,63.0,18820860.0,298743.8095238095
les Roquetes,3229970,4.3614309885374345,0.0057586922282762635,3382.0,4.857533826641359,3.0,38.0,3233352.0,85088.21052631579
Can Peguera,653138,3.2009760509258367,0.0027654558579547676,10475.0,4.411217454566747,3.0,4.0,663613.0,165903.25
el Carmel,9038982,3.069205151012533,0.011438523314877436,4353843.0,2.7153850450624732,0.0,80.0,13392825.0,167410.3125
la Barceloneta,11624578,3.3182306814376377,0.013432034515656522,16166322.0,2.3562359999734763,4.0,49.0,27790900.0,567161.224489796
la Nova Esquerra de l'Eixample,27116657,2.7499771289787462,0.02823585126870739,8309313.0,2.2669809356216954,0.0,56.0,35425970.0,632606.6071428572
el Camp de l'Arpa del Clot,11278623,2.911867183827295,0.013408277867430833,2053530.0,2.7014598015574784,0.0,29.0,13332153.0,459729.4137931034
Sant Andreu,20548994,4.259864663605382,0.02443810330547161,2052024.0,4.948103264227445,2.0,91.0,22601018.0,248362.83516483515
Verdun,3423394,4.121975352477089,0.005851003688462038,0.0,0.0,3.0,14.0,3423394.0,244528.14285714287
Baró de Viver,604611,3.3231803077617155,0.002750998256703969,25882.0,3.4295351727826997,3.0,10.0,630493.0,63049.3
la Bordeta,6875953,3.4873584360028014,0.008607072335765104,1647533.0,2.9735491087859374,0.0,25.0,8523486.0,340939.44
la Font d'en Fargues,2728771,2.8231476447669284,0.004935988870038379,156102.0,2.653918918525455,0.0,29.0,2884873.0,99478.37931034483
la Salut,3715160,2.653636079724839,0.005712655053010071,3641847.0,2.0202394728664133,0.0,37.0,7357007.0,198838.02702702704
la Font de la Guatlla,2879977,2.9546008834166124,0.004740206867131516,252566.0,2.303651078152967,0.0,9.0,3132543.0,348060.3333333333
la Sagrada Família,23647200,2.693730510694392,0.025831661428248914,21946075.0,2.372791380603628,4.0,54.0,45593275.0,844319.9074074074
la Guineueta,4222038,3.6225901850227764,0.006857308119074159,28574.0,4.246246080406593,3.0,28.0,4250612.0,151807.57142857142
Sant Antoni,18362405,2.6308034066341754,0.01966012615758521,10699565.0,2.030149344163388,4.0,69.0,29061970.0,421187.97101449274
